champion,role,patch,games,wins,winrate
Yasuo,BOTTOM,16.13,197,116,0.5888
Yasuo,JUNGLE,16.13,3,2,0.6667
Yasuo,MIDDLE,16.13,578,280,0.4844
Yasuo,TOP,16.13,249,122,0.49
Yone,BOTTOM,16.13,21,10,0.4762
Yone,JUNGLE,16.13,2,1,0.5
Yone,MIDDLE,16.13,508,240,0.4724
Yone,TOP,16.13,443,218,0.4921
Yorick,JUNGLE,16.13,2,0,0.0
Yorick,MIDDLE,16.13,7,4,0.5714
Yorick,TOP,16.13,183,94,0.5137
Yorick,UTILITY,16.13,1,0,0.0
Yunara,BOTTOM,16.13,405,211,0.521
Yunara,JUNGLE,16.13,1,0,0.0
Yunara,MIDDLE,16.13,1,1,1.0
Yuumi,UTILITY,16.13,178,68,0.382
Zaahen,BOTTOM,16.13,1,0,0.0
Zaahen,JUNGLE,16.13,67,29,0.4328
Zaahen,MIDDLE,16.13,8,4,0.5
Zaahen,TOP,16.13,334,183,0.5479
Zaahen,UTILITY,16.13,2,1,0.5
Zac,BOTTOM,16.13,11,7,0.6364
Zac,JUNGLE,16.13,163,86,0.5276
Zac,MIDDLE,16.13,12,6,0.5
Zac,TOP,16.13,23,15,0.6522
Zac,UTILITY,16.13,16,10,0.625
Zed,BOTTOM,16.13,7,3,0.4286
Zed,JUNGLE,16.13,110,51,0.4636
Zed,MIDDLE,16.13,511,251,0.4912
Zed,TOP,16.13,96,50,0.5208
Zed,UTILITY,16.13,3,1,0.3333
Zeri,BOTTOM,16.13,520,277,0.5327
Zeri,JUNGLE,16.13,4,3,0.75
Zeri,MIDDLE,16.13,6,3,0.5
Zeri,TOP,16.13,15,7,0.4667
Ziggs,BOTTOM,16.13,452,214,0.4735
Ziggs,MIDDLE,16.13,48,22,0.4583
Ziggs,UTILITY,16.13,1,1,1.0
Zilean,BOTTOM,16.13,13,6,0.4615
Zilean,MIDDLE,16.13,57,32,0.5614
Zilean,TOP,16.13,70,40,0.5714
Zilean,UTILITY,16.13,291,136,0.4674
Zoe,BOTTOM,16.13,8,6,0.75
Zoe,MIDDLE,16.13,243,129,0.5309
Zoe,TOP,16.13,37,18,0.4865
Zoe,UTILITY,16.13,118,65,0.5508
Zyra,BOTTOM,16.13,39,18,0.4615
Zyra,JUNGLE,16.13,123,55,0.4472
Zyra,MIDDLE,16.13,3,1,0.3333
Zyra,TOP,16.13,6,3,0.5
Zyra,UTILITY,16.13,86,47,0.5465
