champion,role,games,winrate_brut,wilson_lower_bound,pick_rate,ban_rate,presence_score,trend
Nautilus,JUNGLE,4,0.500000,0.150036,0.000341,0.319755,0.320095,stable (+0.000)
Sion,JUNGLE,4,0.500000,0.150036,0.000341,0.142151,0.142492,stable (+0.000)
Cho'Gath,JUNGLE,5,0.400000,0.117618,0.000426,0.004943,0.005369,stable (+0.000)
Rammus,JUNGLE,2,0.500000,0.094529,0.000170,0.001364,0.001534,stable (+0.000)
Shaco,JUNGLE,2,0.500000,0.094529,0.000170,0.000511,0.000682,stable (+0.000)
Amumu,JUNGLE,7,0.285714,0.082217,0.000597,0.000852,0.001449,stable (+0.000)
Bel'Veth,JUNGLE,7,0.285714,0.082217,0.000597,0.004602,0.005199,stable (+0.000)
Zed,JUNGLE,8,0.250000,0.071478,0.000682,0.009204,0.009886,stable (+0.000)
Zac,JUNGLE,9,0.222222,0.063224,0.000767,0.004432,0.005199,stable (+0.000)
Camille,JUNGLE,3,0.333333,0.061490,0.000256,0.031021,0.031277,stable (+0.000)
Ornn,JUNGLE,3,0.333333,0.061490,0.000256,0.042782,0.043037,stable (+0.000)
Rumble,JUNGLE,3,0.333333,0.061490,0.000256,0.349242,0.349497,stable (+0.000)
Tryndamere,JUNGLE,3,0.333333,0.061490,0.000256,0.000341,0.000597,stable (+0.000)
Urgot,JUNGLE,3,0.333333,0.061490,0.000256,0.005966,0.006221,stable (+0.000)
Kayn,JUNGLE,4,0.250000,0.045586,0.000341,0.000852,0.001193,stable (+0.000)
Master Yi,JUNGLE,4,0.250000,0.045586,0.000341,0.001364,0.001704,stable (+0.000)
Fiddlesticks,JUNGLE,3,0.000000,0.000000,0.000256,0.001023,0.001278,stable (+0.000)
Briar,JUNGLE,2,0.000000,0.000000,0.000170,0.001023,0.001193,stable (+0.000)
Gnar,JUNGLE,2,0.000000,0.000000,0.000170,0.118971,0.119141,stable (+0.000)
Elise,JUNGLE,1,0.000000,0.000000,0.000085,0.007670,0.007755,stable (+0.000)
Fizz,JUNGLE,1,0.000000,0.000000,0.000085,0.000170,0.000256,stable (+0.000)
Rell,JUNGLE,1,0.000000,0.000000,0.000085,0.046191,0.046276,stable (+0.000)
Sett,JUNGLE,1,0.000000,0.000000,0.000085,0.000511,0.000597,stable (+0.000)
Thresh,JUNGLE,1,0.000000,0.000000,0.000085,0.008522,0.008607,stable (+0.000)
Swain,MIDDLE,25,0.760000,0.565699,0.002131,0.003750,0.005880,stable (+0.000)
Cassiopeia,MIDDLE,466,0.568670,0.523321,0.039714,0.114369,0.154082,stable (+0.000)
Anivia,MIDDLE,442,0.563348,0.516761,0.037668,0.107210,0.144878,baisse (-0.017)
Aurelion Sol,MIDDLE,47,0.659574,0.516707,0.004005,0.012783,0.016789,stable (+0.000)
Ahri,MIDDLE,947,0.537487,0.505643,0.080706,0.102778,0.183484,stable (+0.000)
Akali,MIDDLE,567,0.536155,0.495001,0.048321,0.232316,0.280637,stable (+0.000)
Annie,MIDDLE,525,0.535238,0.492472,0.044742,0.075166,0.119908,stable (+0.000)
Orianna,MIDDLE,1018,0.515717,0.485016,0.086756,0.611386,0.698142,baisse (-0.034)
Ryze,MIDDLE,1507,0.503650,0.478428,0.128430,0.249531,0.377961,hausse (+0.021)
Twisted Fate,MIDDLE,173,0.549133,0.474720,0.014743,0.024033,0.038776,stable (+0.000)
Sion,MIDDLE,35,0.628571,0.463366,0.002983,0.142151,0.145134,stable (+0.000)
Yasuo,MIDDLE,35,0.628571,0.463366,0.002983,0.019431,0.022413,stable (+0.000)
Viktor,MIDDLE,717,0.489540,0.453102,0.061104,0.065280,0.126385,hausse (+0.097)
LeBlanc,MIDDLE,261,0.501916,0.441669,0.022243,0.093574,0.115817,stable (+0.000)
Syndra,MIDDLE,530,0.477358,0.435150,0.045168,0.098006,0.143174,hausse (+0.021)
Aurora,MIDDLE,888,0.466216,0.433621,0.075678,0.141469,0.217147,stable (+0.001)
Zoe,MIDDLE,104,0.528846,0.433600,0.008863,0.031191,0.040055,stable (+0.000)
Taliyah,MIDDLE,663,0.470588,0.432873,0.056502,0.074996,0.131498,stable (+0.001)
Galio,MIDDLE,445,0.474157,0.428183,0.037924,0.061701,0.099625,hausse (+0.020)
Azir,MIDDLE,798,0.459900,0.425594,0.068007,0.156127,0.224135,stable (+0.000)
Sylas,MIDDLE,253,0.482213,0.421368,0.021561,0.052667,0.074229,stable (+0.001)
Yone,MIDDLE,239,0.468619,0.406350,0.020368,0.034259,0.054628,hausse (+0.020)
Hwei,MIDDLE,227,0.449339,0.386007,0.019345,0.016874,0.036220,baisse (-0.036)
Tristana,MIDDLE,27,0.555556,0.373127,0.002301,0.011931,0.014232,stable (+0.000)
Vex,MIDDLE,15,0.600000,0.357464,0.001278,0.001704,0.002983,stable (+0.000)
Aatrox,MIDDLE,2,1.000000,0.342372,0.000170,0.057269,0.057440,stable (+0.000)
Mel,MIDDLE,255,0.400000,0.341784,0.021732,0.061190,0.082921,stable (+0.000)
Ziggs,MIDDLE,42,0.476190,0.333594,0.003579,0.041077,0.044657,stable (+0.000)
Jayce,MIDDLE,39,0.461538,0.315666,0.003324,0.236237,0.239560,stable (+0.000)
Lissandra,MIDDLE,71,0.422535,0.314528,0.006051,0.006988,0.013039,stable (+0.000)
Gragas,MIDDLE,4,0.750000,0.300636,0.000341,0.005966,0.006306,stable (+0.000)
Gwen,MIDDLE,4,0.750000,0.300636,0.000341,0.130731,0.131072,stable (+0.000)
Irelia,MIDDLE,20,0.500000,0.299295,0.001704,0.020283,0.021987,stable (+0.000)
Kassadin,MIDDLE,20,0.500000,0.299295,0.001704,0.004772,0.006477,stable (+0.000)
Zed,MIDDLE,24,0.458333,0.278911,0.002045,0.009204,0.011249,stable (+0.000)
Lux,MIDDLE,14,0.500000,0.267989,0.001193,0.009545,0.010738,stable (+0.000)
Kog'Maw,MIDDLE,29,0.413793,0.255129,0.002471,0.004772,0.007244,stable (+0.000)
Morgana,MIDDLE,7,0.571429,0.250454,0.000597,0.001534,0.002131,stable (+0.000)
Xerath,MIDDLE,28,0.392857,0.235655,0.002386,0.009034,0.011420,stable (+0.000)
Ekko,MIDDLE,16,0.437500,0.230984,0.001364,0.003238,0.004602,stable (+0.000)
Malzahar,MIDDLE,16,0.437500,0.230984,0.001364,0.003238,0.004602,stable (+0.000)
Xin Zhao,MIDDLE,5,0.600000,0.230720,0.000426,0.140447,0.140873,stable (+0.000)
Veigar,MIDDLE,29,0.379310,0.226878,0.002471,0.003068,0.005539,stable (+0.000)
Smolder,MIDDLE,11,0.454545,0.212710,0.000937,0.015340,0.016277,stable (+0.000)
K'Sante,MIDDLE,3,0.666667,0.207655,0.000256,0.091529,0.091785,stable (+0.000)
Locke,MIDDLE,3,0.666667,0.207655,0.000256,0.000852,0.001108,stable (+0.000)
Camille,MIDDLE,1,1.000000,0.206543,0.000085,0.031021,0.031106,stable (+0.000)
Kai'Sa,MIDDLE,1,1.000000,0.206543,0.000085,0.063065,0.063150,stable (+0.000)
Kayle,MIDDLE,1,1.000000,0.206543,0.000085,0.003579,0.003665,stable (+0.000)
Nami,MIDDLE,1,1.000000,0.206543,0.000085,0.066644,0.066729,stable (+0.000)
Pantheon,MIDDLE,1,1.000000,0.206543,0.000085,0.238111,0.238197,stable (+0.000)
Quinn,MIDDLE,1,1.000000,0.206543,0.000085,0.000341,0.000426,stable (+0.000)
Sett,MIDDLE,1,1.000000,0.206543,0.000085,0.000511,0.000597,stable (+0.000)
Shen,MIDDLE,1,1.000000,0.206543,0.000085,0.020965,0.021050,stable (+0.000)
Corki,MIDDLE,12,0.416667,0.193257,0.001023,0.056588,0.057610,stable (+0.000)
Diana,MIDDLE,9,0.444444,0.188775,0.000767,0.009715,0.010482,stable (+0.000)
Vayne,MIDDLE,6,0.500000,0.187613,0.000511,0.083859,0.084370,stable (+0.000)
Neeko,MIDDLE,7,0.428571,0.158217,0.000597,0.199932,0.200528,stable (+0.000)
Ambessa,MIDDLE,4,0.500000,0.150036,0.000341,0.250724,0.251065,stable (+0.000)
Brand,MIDDLE,4,0.500000,0.150036,0.000341,0.000511,0.000852,stable (+0.000)
Fizz,MIDDLE,4,0.500000,0.150036,0.000341,0.000170,0.000511,stable (+0.000)
Rumble,MIDDLE,4,0.500000,0.150036,0.000341,0.349242,0.349582,stable (+0.000)
Varus,MIDDLE,8,0.375000,0.136842,0.000682,0.457815,0.458497,stable (+0.000)
Vladimir,MIDDLE,23,0.260870,0.125484,0.001960,0.004602,0.006562,stable (+0.000)
Naafiri,MIDDLE,5,0.400000,0.117618,0.000426,0.092040,0.092466,stable (+0.000)
Vel'Koz,MIDDLE,5,0.400000,0.117618,0.000426,0.000341,0.000767,stable (+0.000)
Ezreal,MIDDLE,6,0.333333,0.096769,0.000511,0.156127,0.156639,stable (+0.000)
Renekton,MIDDLE,6,0.333333,0.096769,0.000511,0.101415,0.101926,stable (+0.000)
Katarina,MIDDLE,2,0.500000,0.094529,0.000170,0.000341,0.000511,stable (+0.000)
Viego,MIDDLE,2,0.500000,0.094529,0.000170,0.016363,0.016533,stable (+0.000)
Zeri,MIDDLE,2,0.500000,0.094529,0.000170,0.005625,0.005795,stable (+0.000)
Seraphine,MIDDLE,4,0.250000,0.045586,0.000341,0.115221,0.115562,stable (+0.000)
Karma,MIDDLE,3,0.000000,0.000000,0.000256,0.351457,0.351713,stable (+0.000)
Qiyana,MIDDLE,3,0.000000,0.000000,0.000256,0.038691,0.038947,stable (+0.000)
