champion,role,games,winrate_brut,wilson_lower_bound,pick_rate,ban_rate,presence_score,trend
Ahri,TOP,3,0.666667,0.207655,0.000256,0.102778,0.103034,stable (+0.000)
Vex,TOP,3,0.666667,0.207655,0.000256,0.001704,0.001960,stable (+0.000)
Akshan,TOP,1,1.000000,0.206543,0.000085,0.000170,0.000256,stable (+0.000)
Bard,TOP,1,1.000000,0.206543,0.000085,0.238793,0.238878,stable (+0.000)
Diana,TOP,1,1.000000,0.206543,0.000085,0.009715,0.009801,stable (+0.000)
Zilean,TOP,1,1.000000,0.206543,0.000085,0.000682,0.000767,stable (+0.000)
Kayle,TOP,17,0.352941,0.173095,0.001449,0.003579,0.005028,stable (+0.000)
Udyr,TOP,10,0.400000,0.168178,0.000852,0.001364,0.002216,stable (+0.000)
Zac,TOP,7,0.428571,0.158217,0.000597,0.004432,0.005028,stable (+0.000)
Singed,TOP,11,0.363636,0.151662,0.000937,0.001875,0.002812,stable (+0.000)
Tristana,TOP,11,0.363636,0.151662,0.000937,0.011931,0.012869,stable (+0.000)
Tryndamere,TOP,11,0.363636,0.151662,0.000937,0.000341,0.001278,stable (+0.000)
Vladimir,TOP,18,0.277778,0.124996,0.001534,0.004602,0.006136,stable (+0.000)
Sejuani,TOP,6,0.333333,0.096769,0.000511,0.008693,0.009204,stable (+0.000)
Teemo,TOP,2,0.500000,0.094529,0.000170,0.000170,0.000341,stable (+0.000)
Smolder,TOP,7,0.285714,0.082217,0.000597,0.015340,0.015937,stable (+0.000)
Annie,TOP,3,0.333333,0.061490,0.000256,0.075166,0.075422,stable (+0.000)
Lee Sin,TOP,3,0.333333,0.061490,0.000256,0.073632,0.073888,stable (+0.000)
Trundle,TOP,3,0.333333,0.061490,0.000256,0.032044,0.032299,stable (+0.000)
Nidalee,TOP,4,0.250000,0.045586,0.000341,0.006136,0.006477,stable (+0.000)
Wukong,TOP,4,0.250000,0.045586,0.000341,0.103801,0.104142,stable (+0.000)
Xin Zhao,TOP,4,0.250000,0.045586,0.000341,0.140447,0.140787,stable (+0.000)
Brand,TOP,3,0.000000,0.000000,0.000256,0.000511,0.000767,stable (+0.000)
Graves,TOP,2,0.000000,0.000000,0.000170,0.003920,0.004091,stable (+0.000)
Karma,TOP,2,0.000000,0.000000,0.000170,0.351457,0.351628,stable (+0.000)
Kassadin,TOP,2,0.000000,0.000000,0.000170,0.004772,0.004943,stable (+0.000)
Tahm Kench,TOP,2,0.000000,0.000000,0.000170,0.000852,0.001023,stable (+0.000)
Viktor,TOP,2,0.000000,0.000000,0.000170,0.065280,0.065451,stable (+0.000)
Azir,TOP,1,0.000000,0.000000,0.000085,0.156127,0.156213,stable (+0.000)
Ekko,TOP,1,0.000000,0.000000,0.000085,0.003238,0.003324,stable (+0.000)
Jarvan IV,TOP,1,0.000000,0.000000,0.000085,0.343617,0.343702,stable (+0.000)
Malzahar,TOP,1,0.000000,0.000000,0.000085,0.003238,0.003324,stable (+0.000)
Qiyana,TOP,1,0.000000,0.000000,0.000085,0.038691,0.038776,stable (+0.000)
Vi,TOP,1,0.000000,0.000000,0.000085,0.222260,0.222345,stable (+0.000)
Zeri,TOP,1,0.000000,0.000000,0.000085,0.005625,0.005710,stable (+0.000)
Bard,UTILITY,1115,0.558744,0.529447,0.095023,0.238793,0.333816,baisse (-0.110)
Alistar,UTILITY,718,0.555710,0.519164,0.061190,0.065110,0.126300,stable (+0.000)
Seraphine,UTILITY,882,0.528345,0.495348,0.075166,0.115221,0.190387,stable (+0.001)
Rakan,UTILITY,713,0.518934,0.482256,0.060764,0.050281,0.111045,stable (+0.001)
