blue_jungle,blue_support,red_jungle,red_support,games,blue_winrate
Ambessa,Bard,Maokai,Neeko,1,0.0
Ambessa,Bard,Nocturne,Pyke,1,1.0
Ambessa,Bard,Nocturne,Rakan,1,1.0
Ambessa,Bard,Pantheon,Karma,1,0.0
Ambessa,Bard,Pantheon,Leona,1,1.0
Ambessa,Bard,Pantheon,Lulu,1,0.0
Ambessa,Bard,Qiyana,Leona,1,1.0
Ambessa,Bard,Skarner,Nautilus,1,0.0
Ambessa,Bard,Xin Zhao,Nautilus,1,0.0
Ambessa,Braum,Nautilus,Neeko,1,1.0
Ambessa,Camille,Viego,Bard,1,1.0
Ambessa,Karma,Dr. Mundo,Leona,1,1.0
Ambessa,Karma,Dr. Mundo,Neeko,1,0.0
Ambessa,Karma,Lee Sin,Bard,1,0.0
Ambessa,Karma,Pantheon,Bard,1,1.0
Ambessa,Karma,Skarner,Yuumi,1,1.0
Ambessa,Karma,Vi,Renata Glasc,1,1.0
Ambessa,Karma,Viego,Neeko,1,0.0
Ambessa,Karma,Wukong,Rakan,1,0.0
Ambessa,Karma,Xin Zhao,Lulu,1,0.0
Ambessa,Karma,Xin Zhao,Neeko,1,1.0
Ambessa,Leona,Aatrox,Karma,1,1.0
Ambessa,Leona,Gwen,Lulu,1,0.0
Ambessa,Leona,Jayce,Braum,1,0.0
Ambessa,Leona,Pantheon,Alistar,1,0.0
Ambessa,Leona,Pantheon,Nami,1,1.0
Ambessa,Leona,Vi,Rakan,1,0.0
Ambessa,Leona,Wukong,Bard,1,1.0
Ambessa,Leona,Wukong,Nautilus,1,1.0
Ambessa,Leona,Wukong,Neeko,1,0.0
Ambessa,Leona,Wukong,Rakan,1,0.0
Ambessa,Leona,Xin Zhao,Rell,1,0.0
Ambessa,Leona,Xin Zhao,Seraphine,1,1.0
Ambessa,Lulu,Diana,Bard,1,1.0
Ambessa,Lulu,Naafiri,Milio,1,0.0
Ambessa,Lulu,Naafiri,Seraphine,1,0.0
Ambessa,Lulu,Pantheon,Karma,1,1.0
Ambessa,Lulu,Viego,Nami,1,1.0
Ambessa,Lulu,Wukong,Blitzcrank,1,1.0
Ambessa,Lulu,Wukong,Milio,1,1.0
Ambessa,Lulu,Wukong,Nami,1,1.0
Ambessa,Milio,Kha'Zix,Nautilus,1,1.0
Ambessa,Milio,Qiyana,Nami,1,1.0
Ambessa,Nami,Aatrox,Lulu,1,1.0
Ambessa,Nami,Maokai,Lulu,1,1.0
Ambessa,Nami,Nocturne,Anivia,1,1.0
Ambessa,Nami,Pantheon,Seraphine,1,1.0
Ambessa,Nami,Taliyah,Rell,1,1.0
Ambessa,Nami,Vi,Lulu,1,0.0
Ambessa,Nautilus,Aatrox,Braum,1,1.0
Ambessa,Nautilus,Dr. Mundo,Bard,1,0.0
Ambessa,Nautilus,Dr. Mundo,Braum,1,1.0
Ambessa,Nautilus,Jarvan IV,Lulu,1,0.0
Ambessa,Nautilus,Lee Sin,Karma,1,0.0
Ambessa,Nautilus,Lee Sin,Nami,1,1.0
Ambessa,Nautilus,Nocturne,Rakan,1,0.0
Ambessa,Nautilus,Shyvana,Lulu,1,0.0
Ambessa,Nautilus,Vi,Alistar,1,0.0
Ambessa,Nautilus,Viego,Poppy,1,1.0
Ambessa,Nautilus,Zaahen,Karma,1,1.0
Ambessa,Neeko,Aatrox,Janna,1,1.0
Ambessa,Neeko,Nocturne,Milio,1,1.0
Ambessa,Neeko,Poppy,Milio,1,1.0
Ambessa,Neeko,Vi,Bard,1,0.0
Ambessa,Neeko,Vi,Nami,1,1.0
Ambessa,Neeko,Wukong,Leona,1,1.0
Ambessa,Neeko,Wukong,Rell,1,0.0
Ambessa,Neeko,Zyra,Thresh,1,1.0
Ambessa,Poppy,Qiyana,Alistar,1,0.0
Ambessa,Pyke,Jarvan IV,Rell,1,1.0
Ambessa,Rakan,Aatrox,Alistar,1,1.0
Ambessa,Rakan,Graves,Karma,1,0.0
Ambessa,Rakan,Jarvan IV,Alistar,1,0.0
Ambessa,Rakan,Qiyana,Leona,1,1.0
Ambessa,Rakan,Rek'Sai,Alistar,1,0.0
Ambessa,Rakan,Rengar,Nautilus,1,1.0
Ambessa,Rakan,Sejuani,Poppy,1,1.0
Ambessa,Rakan,Vi,Alistar,1,1.0
Ambessa,Rakan,Viego,Poppy,1,1.0
Ambessa,Rakan,Volibear,Braum,1,1.0
Ambessa,Rakan,Wukong,Alistar,1,1.0
Ambessa,Rakan,Wukong,Lulu,1,1.0
Ambessa,Rakan,Wukong,Poppy,1,0.0
Ambessa,Rakan,Zaahen,Leona,1,0.0
Ambessa,Rell,Aatrox,Leona,1,1.0
Ambessa,Rell,Diana,Nautilus,1,1.0
Ambessa,Rell,Jarvan IV,Rakan,1,1.0
Ambessa,Rell,Malphite,Rakan,1,0.0
Ambessa,Rell,Poppy,Nautilus,1,1.0
Ambessa,Rell,Vi,Nautilus,1,0.0
Ambessa,Seraphine,Aatrox,Rakan,1,0.0
Ambessa,Seraphine,Naafiri,Bard,1,0.0
Ambessa,Seraphine,Nidalee,Blitzcrank,1,0.0
Ambessa,Seraphine,Nocturne,Bard,1,0.0
Ambessa,Seraphine,Nocturne,Neeko,1,0.0
Ambessa,Seraphine,Nocturne,Renata Glasc,1,1.0
Ambessa,Seraphine,Pantheon,Bard,1,1.0
Ambessa,Seraphine,Rengar,Neeko,1,0.0
Ambessa,Seraphine,Skarner,Nautilus,1,1.0
Ambessa,Seraphine,Vi,Milio,1,0.0
Ambessa,Seraphine,Vi,Yuumi,1,1.0
Ambessa,Seraphine,Wukong,Rell,1,1.0
Ambessa,Seraphine,Xin Zhao,Braum,1,1.0
Ambessa,Seraphine,Xin Zhao,Karma,1,1.0
Ambessa,Soraka,Maokai,Seraphine,1,0.0
Ambessa,Thresh,Pantheon,Blitzcrank,1,1.0
Ambessa,Thresh,Xin Zhao,Rakan,1,1.0
Ambessa,Yuumi,Wukong,Rell,1,0.0
Amumu,Alistar,Ambessa,Rell,1,0.0
Amumu,Karma,Xin Zhao,Seraphine,1,0.0
Amumu,Nami,Wukong,Rakan,1,1.0
Amumu,Neeko,Wukong,Milio,1,0.0
Bel'Veth,Camille,Naafiri,Karma,1,1.0
Bel'Veth,Karma,Vi,Alistar,1,1.0
Bel'Veth,Seraphine,Viego,Karma,1,0.0
Bel'Veth,Seraphine,Wukong,Rell,1,0.0
Brand,Lulu,Skarner,Bard,1,1.0
Camille,Neeko,Nidalee,Elise,1,0.0
Cho'Gath,Leona,Pantheon,Rell,1,0.0
Cho'Gath,Lulu,Jayce,Leona,1,0.0
Cho'Gath,Neeko,Skarner,Milio,1,1.0
Cho'Gath,Neeko,Zaahen,Karma,1,1.0
Darius,Bard,Jarvan IV,Karma,1,0.0
Darius,Bard,Naafiri,Nautilus,1,1.0
Darius,Bard,Qiyana,Lulu,1,1.0
Darius,Seraphine,Bel'Veth,Skarner,1,1.0
Darius,Seraphine,Wukong,Rell,1,1.0
Diana,Alistar,Wukong,Rakan,1,0.0
Diana,Karma,Aatrox,Nami,1,0.0
Diana,Karma,Wukong,Rakan,1,1.0
Diana,Leona,Vi,Rell,1,0.0
Diana,Neeko,Pantheon,Nautilus,1,1.0
Diana,Nidalee,Naafiri,Karma,1,1.0
Diana,Rakan,Naafiri,Braum,1,1.0
Diana,Rell,Malphite,Leona,1,0.0
Diana,Rell,Malphite,Seraphine,1,1.0
Diana,Rell,Taliyah,Alistar,1,0.0
Dr. Mundo,Alistar,Aatrox,Bard,1,0.0
Dr. Mundo,Alistar,Hecarim,Braum,1,1.0
Dr. Mundo,Alistar,Malphite,Nautilus,1,1.0
Dr. Mundo,Alistar,Nocturne,Milio,1,1.0
Dr. Mundo,Alistar,Sejuani,Nautilus,1,0.0
Dr. Mundo,Alistar,Taliyah,Poppy,1,1.0
Dr. Mundo,Alistar,Viego,Rell,1,1.0
Dr. Mundo,Alistar,Wukong,Braum,1,1.0
Dr. Mundo,Alistar,Wukong,Neeko,1,1.0
Dr. Mundo,Alistar,Wukong,Rell,1,1.0
Dr. Mundo,Alistar,Xin Zhao,Braum,1,0.0
Dr. Mundo,Anivia,Wukong,Neeko,1,1.0
Dr. Mundo,Bard,Jarvan IV,Nami,1,1.0
Dr. Mundo,Bard,Lillia,Rell,1,1.0
Dr. Mundo,Bard,Naafiri,Neeko,1,0.0
Dr. Mundo,Bard,Pantheon,Alistar,1,1.0
Dr. Mundo,Bard,Pantheon,Pyke,1,1.0
Dr. Mundo,Bard,Pantheon,Shen,1,0.0
Dr. Mundo,Bard,Rek'Sai,Nami,1,1.0
Dr. Mundo,Bard,Trundle,Seraphine,1,1.0
Dr. Mundo,Bard,Wukong,Leona,1,1.0
Dr. Mundo,Bard,Wukong,Lulu,1,0.0
Dr. Mundo,Bard,Wukong,Seraphine,1,1.0
Dr. Mundo,Blitzcrank,Xin Zhao,Seraphine,1,0.0
Dr. Mundo,Braum,Jarvan IV,Nautilus,1,0.0
Dr. Mundo,Braum,Jayce,Thresh,1,1.0
Dr. Mundo,Braum,Lee Sin,Nautilus,1,1.0
Dr. Mundo,Braum,Trundle,Leona,1,0.0
Dr. Mundo,Braum,Viego,Rell,1,1.0
Dr. Mundo,Braum,Wukong,Bard,1,1.0
Dr. Mundo,Braum,Wukong,Nautilus,1,0.0
Dr. Mundo,Elise,Qiyana,Pyke,1,1.0
Dr. Mundo,Karma,Aatrox,Lulu,1,0.0
Dr. Mundo,Karma,Aatrox,Nami,1,0.0
Dr. Mundo,Karma,Aatrox,Nautilus,1,0.0
Dr. Mundo,Karma,Ambessa,Nautilus,1,1.0
Dr. Mundo,Karma,Ambessa,Neeko,1,0.0
Dr. Mundo,Karma,Jarvan IV,Neeko,1,1.0
Dr. Mundo,Karma,Jarvan IV,Rell,1,0.0
Dr. Mundo,Karma,Jayce,Nautilus,1,0.0
Dr. Mundo,Karma,Kindred,Nautilus,1,0.0
Dr. Mundo,Karma,Naafiri,Rell,1,0.0
Dr. Mundo,Karma,Nocturne,Elise,1,0.0
Dr. Mundo,Karma,Nocturne,Nautilus,1,0.0
Dr. Mundo,Karma,Nocturne,Rakan,1,0.0
Dr. Mundo,Karma,Nunu & Willump,Nautilus,1,0.0
Dr. Mundo,Karma,Pantheon,Neeko,1,1.0
Dr. Mundo,Karma,Rek'Sai,Leona,1,0.0
Dr. Mundo,Karma,Sylas,Lulu,1,0.0
Dr. Mundo,Karma,Vi,Bard,1,0.0
Dr. Mundo,Karma,Vi,Nami,1,0.0
Dr. Mundo,Karma,Vi,Neeko,1,1.0
Dr. Mundo,Karma,Wukong,Leona,1,0.0
Dr. Mundo,Karma,Wukong,Nami,1,1.0
Dr. Mundo,Karma,Wukong,Nautilus,1,0.0
Dr. Mundo,Karma,Wukong,Rakan,1,1.0
Dr. Mundo,Karma,Xin Zhao,Lulu,1,1.0
Dr. Mundo,Karma,Zaahen,Alistar,1,1.0
Dr. Mundo,Karma,Zaahen,Nami,1,1.0
Dr. Mundo,Leona,Darius,Nautilus,1,0.0
Dr. Mundo,Leona,Jarvan IV,Bard,1,0.0
Dr. Mundo,Leona,Nocturne,Nautilus,1,0.0
Dr. Mundo,Leona,Sejuani,Karma,1,1.0
Dr. Mundo,Lulu,Aatrox,Nautilus,1,0.0
Dr. Mundo,Lulu,Jarvan IV,Leona,1,1.0
Dr. Mundo,Lulu,Jarvan IV,Thresh,1,1.0
Dr. Mundo,Lulu,Lee Sin,Nautilus,1,0.0
Dr. Mundo,Lulu,Maokai,Leona,1,1.0
Dr. Mundo,Lulu,Maokai,Nautilus,1,0.0
Dr. Mundo,Lulu,Nocturne,Milio,1,1.0
Dr. Mundo,Lulu,Nocturne,Soraka,1,0.0
Dr. Mundo,Lulu,Olaf,Nautilus,1,1.0
Dr. Mundo,Lulu,Pantheon,Neeko,1,1.0
Dr. Mundo,Lulu,Sejuani,Neeko,1,1.0
Dr. Mundo,Lulu,Trundle,Karma,1,1.0
Dr. Mundo,Lulu,Vi,Nautilus,1,0.0
Dr. Mundo,Lulu,Wukong,Senna,1,0.0
Dr. Mundo,Lulu,Xin Zhao,Neeko,1,1.0
Dr. Mundo,Lulu,Zaahen,Nami,1,0.0
Dr. Mundo,Lux,Vi,Bard,1,1.0
Dr. Mundo,Milio,Darius,Alistar,1,0.0
Dr. Mundo,Milio,Maokai,Seraphine,1,1.0
Dr. Mundo,Morgana,Trundle,Seraphine,1,0.0
Dr. Mundo,Nami,Jarvan IV,Bard,1,1.0
Dr. Mundo,Nami,Jarvan IV,Karma,1,1.0
Dr. Mundo,Nami,Jarvan IV,Neeko,1,0.0
Dr. Mundo,Nami,Jarvan IV,Seraphine,1,0.0
Dr. Mundo,Nami,Malphite,Alistar,1,0.0
Dr. Mundo,Nami,Maokai,Milio,1,1.0
Dr. Mundo,Nami,Naafiri,Karma,1,1.0
Dr. Mundo,Nami,Nocturne,Karma,1,1.0
Dr. Mundo,Nami,Nocturne,Neeko,1,0.0
Dr. Mundo,Nami,Nunu & Willump,Bard,1,0.0
Dr. Mundo,Nami,Pantheon,Leona,1,0.0
Dr. Mundo,Nami,Pantheon,Lulu,1,0.0
Dr. Mundo,Nami,Qiyana,Alistar,1,1.0
Dr. Mundo,Nami,Skarner,Yuumi,1,0.0
Dr. Mundo,Nami,Trundle,Lulu,1,1.0
Dr. Mundo,Nami,Vi,Bard,1,1.0
Dr. Mundo,Nami,Vi,Nautilus,1,0.0
Dr. Mundo,Nami,Wukong,Karma,1,1.0
Dr. Mundo,Nami,Xin Zhao,Karma,1,1.0
Dr. Mundo,Nami,Xin Zhao,Seraphine,1,1.0
Dr. Mundo,Nautilus,Ambessa,Rell,1,1.0
Dr. Mundo,Nautilus,Jarvan IV,Leona,1,0.0
Dr. Mundo,Nautilus,Jarvan IV,Neeko,1,1.0
Dr. Mundo,Nautilus,Maokai,Karma,1,1.0
Dr. Mundo,Nautilus,Nasus,Rakan,1,0.0
Dr. Mundo,Nautilus,Nunu & Willump,Karma,1,0.0
Dr. Mundo,Nautilus,Pantheon,Rell,1,0.0
Dr. Mundo,Nautilus,Qiyana,Braum,1,1.0
Dr. Mundo,Nautilus,Sejuani,Braum,1,1.0
Dr. Mundo,Nautilus,Vi,Karma,1,1.0
Dr. Mundo,Nautilus,Vi,Rell,1,1.0
Dr. Mundo,Nautilus,Wukong,Rakan,1,1.0
Dr. Mundo,Nautilus,Zaahen,Braum,1,0.0
Dr. Mundo,Nautilus,Zaahen,Karma,1,1.0
Dr. Mundo,Nautilus,Zaahen,Leona,1,1.0
Dr. Mundo,Nautilus,Zed,Karma,1,1.0
Dr. Mundo,Neeko,Nocturne,Alistar,1,1.0
Dr. Mundo,Neeko,Nocturne,LeBlanc,1,1.0
Dr. Mundo,Neeko,Pantheon,Nami,1,0.0
Dr. Mundo,Neeko,Skarner,Bard,1,0.0
Dr. Mundo,Neeko,Skarner,Camille,1,0.0
Dr. Mundo,Neeko,Sylas,Pantheon,1,1.0
Dr. Mundo,Neeko,Trundle,Nami,1,0.0
Dr. Mundo,Neeko,Vi,Alistar,1,0.0
Dr. Mundo,Neeko,Vi,Milio,1,1.0
Dr. Mundo,Neeko,Vi,Nautilus,1,1.0
Dr. Mundo,Neeko,Vi,Rakan,1,1.0
Dr. Mundo,Neeko,Viego,Pyke,1,1.0
Dr. Mundo,Neeko,Wukong,Alistar,1,1.0
Dr. Mundo,Neeko,Zaahen,Elise,1,1.0
Dr. Mundo,Pantheon,Nasus,Nautilus,1,1.0
Dr. Mundo,Poppy,Jarvan IV,Alistar,1,0.0
Dr. Mundo,Poppy,Vi,Rakan,1,1.0
Dr. Mundo,Poppy,Wukong,Leona,1,1.0
Dr. Mundo,Pyke,Nocturne,Rell,1,1.0
Dr. Mundo,Pyke,Vi,Bard,1,0.0
Dr. Mundo,Pyke,Vi,Karma,1,0.0
Dr. Mundo,Rakan,Darius,Alistar,1,1.0
Dr. Mundo,Rakan,Diana,Neeko,1,1.0
Dr. Mundo,Rakan,Nocturne,Alistar,1,0.0
Dr. Mundo,Rakan,Nocturne,Lulu,1,1.0
Dr. Mundo,Rakan,Sejuani,Neeko,1,0.0
Dr. Mundo,Rakan,Vi,Bard,1,0.0
Dr. Mundo,Rakan,Viego,Bard,1,1.0
Dr. Mundo,Rakan,Wukong,Leona,1,1.0
Dr. Mundo,Rakan,Wukong,Nautilus,1,1.0
Dr. Mundo,Rakan,Xin Zhao,Lulu,1,0.0
Dr. Mundo,Rell,Diana,Zac,1,1.0
Dr. Mundo,Rell,Jarvan IV,Nami,1,0.0
Dr. Mundo,Rell,Naafiri,Poppy,1,0.0
Dr. Mundo,Rell,Trundle,Nautilus,1,1.0
Dr. Mundo,Rell,Trundle,Rakan,1,1.0
Dr. Mundo,Rell,Vi,Rakan,1,0.0
Dr. Mundo,Rell,Wukong,Rakan,1,0.0
Dr. Mundo,Rell,Xin Zhao,Nautilus,1,1.0
Dr. Mundo,Rell,Xin Zhao,Poppy,1,1.0
Dr. Mundo,Rell,Zaahen,Neeko,1,0.0
Dr. Mundo,Renata Glasc,Sejuani,Alistar,1,0.0
Dr. Mundo,Seraphine,Aatrox,Bard,1,0.0
Dr. Mundo,Seraphine,Aatrox,Karma,1,0.0
Dr. Mundo,Seraphine,Aatrox,Renata Glasc,1,0.0
Dr. Mundo,Seraphine,Lee Sin,Nautilus,1,1.0
Dr. Mundo,Seraphine,Lee Sin,Rell,1,1.0
Dr. Mundo,Seraphine,Naafiri,Bard,1,1.0
Dr. Mundo,Seraphine,Naafiri,Karma,1,1.0
Dr. Mundo,Seraphine,Nocturne,Karma,1,1.0
Dr. Mundo,Seraphine,Pantheon,Lulu,1,1.0
Dr. Mundo,Seraphine,Pantheon,Renata Glasc,1,0.0
Dr. Mundo,Seraphine,Trundle,Nami,1,1.0
Dr. Mundo,Seraphine,Vi,Nami,1,0.0
Dr. Mundo,Seraphine,Xin Zhao,Milio,1,0.0
Dr. Mundo,Seraphine,Zaahen,Karma,1,1.0
Dr. Mundo,Seraphine,Zac,Karma,1,1.0
Dr. Mundo,Shen,Wukong,Rakan,1,0.0
Dr. Mundo,Soraka,Sylas,Braum,1,0.0
Dr. Mundo,Thresh,Aatrox,Seraphine,1,1.0
Dr. Mundo,Thresh,Rengar,Neeko,1,0.0
Dr. Mundo,Thresh,Volibear,Lulu,1,1.0
Dr. Mundo,Thresh,Wukong,Renata Glasc,1,1.0
Dr. Mundo,Thresh,Zaahen,Bard,1,1.0
Dr. Mundo,Yuumi,Jarvan IV,Seraphine,1,0.0
Dr. Mundo,Yuumi,Pantheon,Nami,1,0.0
Ekko,Neeko,Zed,Bard,1,1.0
Fiddlesticks,Lulu,Dr. Mundo,Seraphine,1,0.0
Fiddlesticks,Nautilus,Wukong,Braum,1,0.0
Gnar,Lulu,Jarvan IV,Neeko,1,0.0
Gnar,Seraphine,Xin Zhao,Karma,1,0.0
Graves,Alistar,Wukong,Rakan,1,0.0
Graves,Braum,Xin Zhao,Alistar,1,0.0
Graves,Leona,Trundle,Alistar,1,0.0
Graves,Lulu,Xin Zhao,Leona,1,1.0
Graves,Milio,Kindred,Rakan,1,1.0
Graves,Nautilus,Jayce,Leona,1,1.0
Graves,Rell,Jarvan IV,Seraphine,1,0.0
Graves,Rell,Karthus,Nautilus,1,0.0
Graves,Seraphine,Vi,Bard,1,0.0
Gwen,Alistar,Vi,Rakan,1,1.0
Gwen,Braum,Lee Sin,Rakan,1,1.0
Gwen,Leona,Skarner,Karma,1,0.0
Gwen,Milio,Kha'Zix,Renata Glasc,1,0.0
Gwen,Nautilus,Sejuani,Morgana,1,0.0
Gwen,Nautilus,Xin Zhao,Alistar,1,1.0
Gwen,Nautilus,Xin Zhao,Leona,1,0.0
Gwen,Neeko,Viego,Bard,1,1.0
Gwen,Poppy,Jarvan IV,Leona,1,0.0
Gwen,Rakan,Jarvan IV,Rell,1,1.0
Gwen,Rell,Malphite,Alistar,1,0.0
Hecarim,Alistar,Nocturne,Sylas,1,1.0
Hecarim,Bard,Skarner,Seraphine,1,0.0
Hecarim,Milio,Lee Sin,Bard,1,1.0
Hecarim,Rakan,Vi,Karma,1,0.0
Hecarim,Rakan,Xin Zhao,Poppy,1,0.0
Hecarim,Rell,Nasus,Alistar,1,0.0
Hecarim,Rell,Trundle,Nautilus,1,0.0
Hecarim,Senna,Jarvan IV,Bard,1,0.0
Hecarim,Shen,Kha'Zix,Camille,1,0.0
Hecarim,Thresh,Lee Sin,Lux,1,1.0
Ivern,Camille,Vi,Leona,1,0.0
Ivern,Leona,Dr. Mundo,Thresh,1,1.0
Ivern,Leona,Nasus,Rakan,1,1.0
Ivern,Leona,Trundle,Nami,1,0.0
Ivern,Leona,Wukong,Nautilus,1,1.0
Ivern,Nautilus,Jarvan IV,Braum,1,0.0
Ivern,Nautilus,Jayce,Braum,1,1.0
Ivern,Nautilus,Nocturne,Rell,1,0.0
Ivern,Nautilus,Nunu & Willump,Braum,1,0.0
Ivern,Nautilus,Trundle,Milio,1,0.0
Ivern,Neeko,Xin Zhao,Milio,1,1.0
Ivern,Rakan,Vi,Rell,1,0.0
Ivern,Rell,Pantheon,Alistar,1,1.0
Jarvan IV,Alistar,Ambessa,Leona,1,1.0
Jarvan IV,Alistar,Jayce,Karma,1,0.0
Jarvan IV,Alistar,Jayce,Nautilus,1,1.0
Jarvan IV,Alistar,Lee Sin,Braum,1,0.0
Jarvan IV,Alistar,Naafiri,Karma,1,1.0
Jarvan IV,Alistar,Nocturne,Bard,1,0.0
Jarvan IV,Alistar,Nocturne,Janna,1,1.0
Jarvan IV,Alistar,Nocturne,Karma,1,1.0
Jarvan IV,Alistar,Nocturne,Nami,1,0.0
Jarvan IV,Alistar,Nocturne,Nautilus,1,1.0
Jarvan IV,Alistar,Nocturne,Rakan,1,0.0
Jarvan IV,Alistar,Pantheon,Bard,1,0.0
Jarvan IV,Alistar,Pantheon,Leona,1,1.0
Jarvan IV,Alistar,Pantheon,Rakan,1,1.0
Jarvan IV,Alistar,Pantheon,Rell,1,1.0
Jarvan IV,Alistar,Poppy,Elise,1,1.0
Jarvan IV,Alistar,Qiyana,Bard,1,1.0
Jarvan IV,Alistar,Sylas,Skarner,1,0.0
Jarvan IV,Alistar,Vi,Braum,1,1.0
Jarvan IV,Alistar,Vi,Leona,1,1.0
Jarvan IV,Alistar,Vi,Rakan,1,1.0
Jarvan IV,Alistar,Viego,Leona,1,1.0
Jarvan IV,Alistar,Viego,Nautilus,1,1.0
Jarvan IV,Alistar,Wukong,Nautilus,1,0.0
Jarvan IV,Alistar,Wukong,Neeko,1,1.0
Jarvan IV,Alistar,Wukong,Rakan,1,1.0
Jarvan IV,Alistar,Wukong,Rell,1,0.0
Jarvan IV,Alistar,Xin Zhao,Bard,1,1.0
Jarvan IV,Alistar,Xin Zhao,Nami,1,1.0
Jarvan IV,Alistar,Xin Zhao,Nautilus,1,0.0
Jarvan IV,Alistar,Zaahen,Neeko,1,1.0
Jarvan IV,Alistar,Zyra,Leona,1,1.0
Jarvan IV,Amumu,Nidalee,Bard,1,1.0
Jarvan IV,Amumu,Sylas,Rell,1,0.0
Jarvan IV,Anivia,Aatrox,Neeko,1,1.0
Jarvan IV,Anivia,Ambessa,Bard,1,1.0
Jarvan IV,Anivia,Lee Sin,Neeko,1,0.0
Jarvan IV,Anivia,Pantheon,Neeko,1,0.0
Jarvan IV,Anivia,Wukong,Braum,1,1.0
Jarvan IV,Anivia,Xin Zhao,Bard,1,0.0
Jarvan IV,Bard,Aatrox,Lulu,1,1.0
Jarvan IV,Bard,Aatrox,Nautilus,1,0.0
Jarvan IV,Bard,Aatrox,Rell,1,1.0
Jarvan IV,Bard,Dr. Mundo,Nami,1,1.0
Jarvan IV,Bard,Dr. Mundo,Neeko,1,1.0
Jarvan IV,Bard,Dr. Mundo,Rell,1,1.0
Jarvan IV,Bard,Graves,Rakan,1,1.0
Jarvan IV,Bard,Jayce,Neeko,1,0.0
Jarvan IV,Bard,Lee Sin,Elise,1,0.0
Jarvan IV,Bard,Lee Sin,Leona,1,0.0
Jarvan IV,Bard,Lee Sin,Milio,1,0.0
Jarvan IV,Bard,Lee Sin,Pyke,1,1.0
Jarvan IV,Bard,Maokai,Seraphine,1,0.0
Jarvan IV,Bard,Naafiri,Karma,1,1.0
Jarvan IV,Bard,Naafiri,Lulu,1,1.0
Jarvan IV,Bard,Naafiri,Nami,1,0.0
Jarvan IV,Bard,Naafiri,Nautilus,1,1.0
Jarvan IV,Bard,Naafiri,Skarner,1,1.0
Jarvan IV,Bard,Nidalee,Neeko,1,0.0
Jarvan IV,Bard,Nocturne,Janna,1,1.0
Jarvan IV,Bard,Nocturne,Leona,1,0.0
Jarvan IV,Bard,Nocturne,Pyke,1,0.0
Jarvan IV,Bard,Pantheon,Lulu,1,1.0
Jarvan IV,Bard,Pantheon,Nami,1,1.0
Jarvan IV,Bard,Sejuani,Seraphine,1,1.0
Jarvan IV,Bard,Shen,Nautilus,1,0.0
Jarvan IV,Bard,Vi,Nami,1,0.0
Jarvan IV,Bard,Vi,Nautilus,1,1.0
Jarvan IV,Bard,Wukong,Nautilus,1,1.0
Jarvan IV,Bard,Wukong,Rell,1,0.0
Jarvan IV,Bard,Xin Zhao,Alistar,1,1.0
Jarvan IV,Bard,Xin Zhao,Braum,1,1.0
Jarvan IV,Bard,Xin Zhao,Karma,1,0.0
Jarvan IV,Bard,Xin Zhao,Lulu,1,0.0
Jarvan IV,Bard,Xin Zhao,Senna,1,1.0
Jarvan IV,Blitzcrank,Ambessa,Milio,1,1.0
Jarvan IV,Blitzcrank,Camille,Seraphine,1,1.0
Jarvan IV,Blitzcrank,Wukong,Milio,1,1.0
Jarvan IV,Blitzcrank,Wukong,Thresh,1,1.0
Jarvan IV,Blitzcrank,Xin Zhao,Nami,1,1.0
Jarvan IV,Blitzcrank,Xin Zhao,Pyke,1,0.0
Jarvan IV,Braum,Aatrox,Alistar,1,0.0
Jarvan IV,Braum,Kha'Zix,Nami,1,0.0
Jarvan IV,Braum,Lee Sin,Nautilus,1,0.0
Jarvan IV,Braum,Lee Sin,Rell,1,1.0
Jarvan IV,Braum,Lee Sin,Seraphine,1,1.0
Jarvan IV,Braum,Naafiri,Lulu,1,1.0
Jarvan IV,Braum,Naafiri,Thresh,1,0.0
Jarvan IV,Braum,Nocturne,Nautilus,1,1.0
Jarvan IV,Braum,Pantheon,Nautilus,1,0.0
Jarvan IV,Braum,Pantheon,Neeko,1,1.0
Jarvan IV,Braum,Sejuani,Lulu,1,0.0
Jarvan IV,Braum,Vi,Lulu,1,0.0
Jarvan IV,Braum,Viego,Nami,1,0.0
Jarvan IV,Braum,Wukong,Milio,1,0.0
Jarvan IV,Braum,Wukong,Nautilus,1,1.0
Jarvan IV,Braum,Xin Zhao,Nautilus,1,0.0
Jarvan IV,Camille,Lee Sin,Shen,1,1.0
Jarvan IV,Camille,Nocturne,Pyke,1,1.0
Jarvan IV,Camille,Xin Zhao,Bard,1,1.0
Jarvan IV,Camille,Xin Zhao,Nautilus,1,1.0
Jarvan IV,Elise,Naafiri,Bard,1,0.0
Jarvan IV,Elise,Nidalee,Bard,1,1.0
Jarvan IV,Elise,Xin Zhao,Nami,1,1.0
Jarvan IV,Galio,Nocturne,Rakan,1,1.0
Jarvan IV,Janna,Naafiri,Lulu,1,1.0
Jarvan IV,Karma,Aatrox,Bard,1,1.0
Jarvan IV,Karma,Ambessa,Rell,1,1.0
Jarvan IV,Karma,Dr. Mundo,Alistar,1,0.0
Jarvan IV,Karma,Dr. Mundo,Nami,1,1.0
Jarvan IV,Karma,Dr. Mundo,Neeko,1,1.0
Jarvan IV,Karma,Dr. Mundo,Rakan,1,0.0
Jarvan IV,Karma,Dr. Mundo,Seraphine,1,1.0
